team_id,wins,losses
103,1,0
104,0,1
107,0,1
108,1,0
111,0,1
112358,0,1
113,0,1
116,1,0
119,6,7
12,1,0
120,0,1
127,9,4
130,0,1
135,1,0
139,1,0
140,0,1
142,0,1
145,0,1
147,0,1
149,0,1
150,0,1
151,0,1
153,1,0
154,0,1
155,1,0
156,0,1
158,1,0
159,1,0
16,0,1
160,0,1
161,0,1
163,0,1
164,0,1
166,0,1
167,0,1
171,0,1
172,0,1
179,0,1
183,0,1
189,0,1
193,1,0
194,0,1
195,1,0
197,0,1
198,0,1
2,0,1
2000,0,1
2005,0,1
2006,1,0
201,0,1
2010,0,1
2011,0,1
2016,0,1
202,0,1
2026,1,0
2029,0,1
2031,0,1
2032,1,0
204,0,1
2046,0,1
2050,0,1
2057,0,1
2065,0,1
2066,0,1
2083,5,9
2084,0,1
2086,1,0
2097,1,0
2099,1,0
21,0,1
2110,0,1
2115,0,1
2116,0,1
2117,0,1
2127,1,0
213,0,1
2130,1,0
2132,1,0
2142,1,0
2154,0,1
2166,0,1
2168,1,0
2169,0,1
2172,0,1
2174,1,0
218,0,1
2182,7,7
2184,0,1
219,0,1
2193,0,1
2197,0,1
2198,0,1
2199,0,1
221,1,0
2210,0,1
2217,1,0
222,0,1
2226,6,7
2229,1,0
2230,1,0
2239,0,1
2247,0,1
225,1,0
2250,0,1
2253,0,1
2261,0,1
227,0,1
2272,1,0
2275,1,0
2277,0,1
228,0,1
2287,0,1
2294,0,1
2296,0,1
23,0,1
2305,0,1
2306,0,1
231,0,1
232,1,0
2320,0,1
2325,1,0
2329,0,1
233,0,1
2330,0,1
2335,1,0
2344,0,1
2348,0,1
2349,1,0
235,7,6
2350,0,1
2351,0,1
2352,0,1
236,1,0
2363,0,1
2368,1,0
2377,0,1
2378,1,0
2379,0,1
238,0,1
2382,1,0
2385,1,0
239,1,0
2390,0,1
2393,1,0
24,0,1
2400,0,1
2405,0,1
2413,0,1
2415,0,1
242,5,7
2426,1,0
2427,0,1
2428,0,1
2429,1,0
2430,1,0
2433,0,1
2439,1,0
2440,0,1
2441,0,1
2443,0,1
2447,0,1
2448,0,1
2449,1,0
245,0,1
2450,1,0
2453,0,1
2454,1,0
2458,0,1
2459,0,1
2460,0,1
2463,0,1
2464,0,1
2466,0,1
2473,0,1
248,0,1
2483,1,0
249,6,7
2492,0,1
25,0,1
250,0,1
2501,0,1
2502,0,1
2504,0,1
2506,0,1
2507,0,1
2509,1,0
251,0,1
2511,1,0
2514,9,5
2515,0,1
252,0,1
2520,0,1
2523,0,1
2529,0,1
253,1,0
2534,1,0
2535,0,1
2539,0,1
254,0,1
2540,0,1
2541,0,1
2545,0,1
2546,0,1
2547,0,1
2550,0,1
256,1,0
2561,0,1
2565,0,1
2567,0,1
2569,0,1
257,0,1
2571,0,1
2572,0,1
2579,1,0
258,1,0
2582,0,1
259,1,0
2598,0,1
2599,1,0
26,0,1
2603,1,0
2608,0,1
261,0,1
2612,0,1
2617,0,1
2619,1,0
2623,0,1
2627,0,1
2628,0,1
2633,1,0
2634,1,0
2635,0,1
2636,1,12
2638,0,1
264,0,1
2640,0,1
2641,1,0
2643,0,1
2649,0,1
265,0,1
2653,0,1
2655,0,1
2670,0,1
2674,1,0
2678,0,1
2681,1,0
2692,0,1
2698,0,1
27,0,1
270,0,1
2710,0,1
2711,0,1
2717,1,0
2724,0,1
2737,0,1
2739,1,0
2747,0,1
275,10,3
2750,0,1
2751,0,1
2752,0,1
2754,0,1
2755,0,1
276,0,1
277,0,1
2771,1,0
278,0,1
279,0,1
28,0,1
2815,0,1
282,0,1
2837,0,1
284,1,0
2870,0,1
288,0,1
2885,0,1
290,0,1
2900,0,1
2908,0,1
2916,0,1
292,0,1
2934,0,1
294,0,1
295,0,1
299,0,1
30,0,1
300,0,1
301,0,1
302,0,1
304,0,1
305,0,1
3084,1,0
309,1,0
3101,0,1
311,1,0
314,1,0
315,0,1
322,5,9
324,1,0
325,0,1
326,0,1
328,0,1
331,0,1
333,0,1
338,0,1
339,1,0
344,0,1
349,0,1
350,0,1
356,0,1
357,0,1
36,0,1
38,1,0
399,0,1
41,0,1
43,1,0
44,0,1
46,0,1
47,1,0
48,0,1
5,7,6
50,0,1
52,1,0
526,1,0
55,0,1
56,0,1
57,1,0
59,0,1
6,1,0
61,1,0
62,0,1
66,0,1
68,1,0
70,0,1
71,0,1
79,0,1
8,0,1
82,0,1
84,0,1
87,0,1
88,0,1
9,0,1
91,0,1
93,0,1
94,0,1
96,0,1
97,1,0
98,0,1
99,0,1
